22:04:09:04:28:38.6,Lunatic Woopir - f60d,Striker - 1f4b,우피르_곤봉던지기,755,0,0,0
22:04:09:04:28:40.7,Sorceress - c4d5,Lunatic Woopir - 3cde,Bleed,51755,0,0,0
22:04:09:04:28:40.7,Sorceress - c4d5,Mayhem Warrior - 225a,Bleed,27916,0,0,0
22:04:09:04:28:40.7,Sorceress - c4d5,Lunatic Woopir - 4493,Bleed,52886,0,0,0
22:04:09:04:28:40.7,Sorceress - c4d5,Mayhem Warrior - 958c,Bleed,52393,0,0,0
22:04:09:04:28:40.7,Sorceress - c4d5,Mayhem Warrior - e6ea,Bleed,27864,0,0,0
22:04:09:04:28:40.7,Sharpshooter,Lunatic Woopir - 3760,Blade Storm,96081,1,0,0
22:04:09:04:28:40.7,Sharpshooter,Mayhem Warrior - e6ea,Blade Storm,97113,1,0,0
22:04:09:04:28:40.7,Sharpshooter,Mayhem Warrior - 958c,Blade Storm,97320,1,0,0
22:04:09:04:28:40.7,Sharpshooter,Mayhem Warrior - 7e42,Blade Storm,45951,0,0,0
22:04:09:04:28:40.7,Sharpshooter,Mayhem Warrior - 744e,Blade Storm,91173,1,0,0
22:04:09:04:28:40.7,Striker - 1f4b,Mayhem Warrior - 8910,Storm Dragon Awakening,39693,1,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Mayhem Warrior - c63d,Blaze,53857,1,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Mayhem Warrior - ca40,Blaze,55133,1,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Mayhem Warrior - d74e,Blaze,56011,1,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Mayhem Warrior - 7d8c,Blaze,54552,1,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Lunatic Woopir,Blaze,28569,0,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Mayhem Warrior - 6d8d,Blaze,29648,0,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Lunatic Woopir - 3cde,Blaze,56964,1,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Mayhem Warrior - c63d,Punishing Strike,1980519,1,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Mayhem Warrior - ca40,Punishing Strike,571072,0,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Mayhem Warrior - d74e,Punishing Strike,2030432,1,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Lunatic Woopir,Punishing Strike,1891033,1,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Lunatic Woopir - 3cde,Punishing Strike,581749,0,0,0
22:04:09:04:28:41.7,Sharpshooter,Mayhem Warrior - 6d8d,Blade Storm,146991,1,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Lunatic Woopir - 4493,Punishing Strike,1960545,1,0,0
22:04:09:04:28:41.7,Sorceress - c4d5,Mayhem Warrior - 5b15,Punishing Strike,552148,0,0,0
22:04:09:04:28:43.8,Sorceress - c4d5,Mayhem Warrior - 251c,Frost's Call,221351,1,0,0
22:04:09:04:28:43.8,Sorceress - c4d5,Mayhem Warrior - 8573,Frost's Call,215889,1,0,0
22:04:09:04:28:43.8,Sorceress - c4d5,Mayhem Warrior - ede6,Frost's Call,217030,1,0,0
22:04:09:04:28:43.8,Sorceress - c4d5,Mayhem Warrior - 9243,Frost's Call,219137,1,0,0
22:04:09:04:28:43.8,Mayhem Warrior - 7746,Striker - 1f4b,키리코_수면검투척,212,0,0,0
22:04:09:04:28:43.8,Mayhem Warrior - 163e,Striker - 1f4b,키리코_죽음의질주,211,0,0,0
22:04:09:04:28:43.8,Sorceress - c4d5,Mayhem Warrior - ad2b,Frost's Call,218214,1,0,0
22:04:09:04:28:44.8,23B0EC2A,Mayhem Warrior - 1353,에고 하프 기본 공격,15111,0,0,0
22:04:09:04:28:44.8,Striker - 1f4b,Mayhem Warrior - d70f,Esoteric Skill: Lightning Tiger Strike,580106,0,0,0
22:04:09:04:28:44.8,Striker - 1f4b,Mayhem Warrior - 08b3,Esoteric Skill: Lightning Tiger Strike,1160107,1,0,0
22:04:09:04:28:44.8,Striker - 1f4b,Mayhem Warrior - 877e,Esoteric Skill: Lightning Tiger Strike,582547,0,0,0
22:04:09:04:28:44.8,Striker - 1f4b,Mayhem Warrior - 7746,Esoteric Skill: Lightning Tiger Strike,581372,0,0,0
22:04:09:04:28:44.8,Striker - 1f4b,Mayhem Warrior - 4735,Esoteric Skill: Lightning Tiger Strike,1182961,1,0,0
22:04:09:04:28:44.8,Striker - 1f4b,Mayhem Warrior - 163e,Esoteric Skill: Lightning Tiger Strike,1168257,1,0,0
22:04:09:04:28:44.8,Striker - 1f4b,Mayhem Warrior - 07ce,Esoteric Skill: Lightning Tiger Strike,1176534,1,0,0
22:04:09:04:28:44.8,Striker - 1f4b,Lunatic Woopir - b176,Esoteric Skill: Lightning Tiger Strike,598825,0,0,0
22:04:09:04:28:58.5,23B16F6A,Bard - ba17,키리코_죽음의질주,0,0,0,0
22:04:09:04:28:58.5,23B16DCA,Bard - ba17,키리코_인멸,0,0,0,0
22:04:09:04:28:58.5,Sharpshooter,23B1892A,Moving Slash,29871,0,0,0
22:04:09:04:28:58.6,Bard - ba17,23B16DCA,Soundholic,59658,0,0,0
22:04:09:04:28:58.6,Bard - ba17,23B18B0A,Soundholic,62940,0,0,0
22:04:09:04:28:58.6,Bard - ba17,23B18ACA,Soundholic,63123,0,0,0
22:04:09:04:28:58.6,Bard - ba17,23B16F6A,Soundholic,63495,0,0,0
22:04:09:04:28:59.6,23B1896A,Bard - ba17,우피르_곤봉던지기,0,0,0,0
22:04:09:04:28:59.6,23B201EA,23B1896A,에고 하프 기본 공격,14977,0,0,0
22:04:09:04:28:59.6,23B16D4A,Sharpshooter,키리코_죽음의질주,357,0,0,0
22:04:09:04:28:59.6,23B16D4A,Sharpshooter,키리코_죽음의질주,338,0,0,0
22:04:09:04:29:00.6,Bard - ba17,23B1896A,Bleed,30441,0,0,0
22:04:09:04:29:00.6,23B18A8A,Sorceress - c4d5,키리코_죽음의질주,271,0,0,0
22:04:09:04:29:00.6,Bard - ba17,23B1896A,Sound Shock,3033,0,0,0
22:04:09:04:29:00.7,Sorceress - c4d5,23B18A8A,Seraphic Hail,70838,1,0,0
22:04:09:04:29:01.7,23B201EA,23B1896A,에고 하프 기본 공격,17240,0,0,0
22:04:09:04:29:01.7,Bard - ba17,23B1896A,Sound Shock,7005,1,0,0
22:04:09:04:29:01.7,Bard - ba17,23B1896A,Sound Shock,3049,0,0,0
22:04:09:04:29:01.7,Bard - ba17,23B1896A,Bleed,30321,0,0,0
22:04:09:04:29:01.7,Sorceress - c4d5,23B18A2A,Squall,89049,1,0,0
22:04:09:04:29:01.7,Sharpshooter,23B1894A,Blade Storm,45522,0,0,0
22:04:09:04:29:01.7,Sharpshooter,23B189AA,Blade Storm,46200,0,0,0
22:04:09:04:29:01.7,Sharpshooter,23B16D4A,Blade Storm,92081,1,0,0
22:04:09:04:29:01.7,Sharpshooter,23B1896A,Blade Storm,101834,1,0,0
22:04:09:04:29:04.8,Striker - 1f4b,23B18A4A,Sky Shattering Blow,15893,0,0,0
22:04:09:04:29:17.2,Lunatic Woopir - 7faf,Bard - ba17,우피르_곤봉던지기,787,0,0,0
22:04:09:04:29:18.2,Lunatic Kimiko - b186,Striker - 1f4b,키리코_인멸,192,0,0,0
22:04:09:04:29:18.2,Striker - 1f4b,Lunatic Kimiko - 83da,Moon Flash Kick,376762,1,0,0
22:04:09:04:29:18.2,Striker - 1f4b,Lunatic Kimiko,Moon Flash Kick,189688,0,0,0
22:04:09:04:29:18.2,Striker - 1f4b,Lunatic Kimiko - 4047,Moon Flash Kick,191991,0,0,0
22:04:09:04:29:18.2,Lunatic Kimiko - b186,Striker - 1f4b,키리코_인멸,0,0,0,0
22:04:09:04:29:18.2,Lunatic Kimiko - 06f3,Striker - 1f4b,키리코_수면검투척,0,0,0,0
22:04:09:04:29:18.2,Lunatic Woopir - cfcf,Striker - 1f4b,우피르_곤봉던지기,0,0,0,0
22:04:09:04:29:18.2,Lunatic Kimiko - f7be,Sorceress - c4d5,키리코_수면검투척,0,0,0,0
22:04:09:04:29:18.2,Lunatic Kimiko - f7be,Striker - 1f4b,키리코_수면검투척,0,0,0,0
22:04:09:04:29:18.2,Lunatic Woopir - 20eb,Sorceress - c4d5,우피르_곤봉던지기,0,0,0,0
22:04:09:04:29:18.2,Lunatic Woopir - a660,Striker - 1f4b,우피르_곤봉던지기,0,0,0,0
22:04:09:04:29:19.2,Sorceress - c4d5,Lunatic Kimiko - d1d1,Seraphic Hail,84420,1,0,0
22:04:09:04:29:19.2,Sorceress - c4d5,Lunatic Kimiko - 4be4,Seraphic Hail,95674,1,0,0
22:04:09:04:29:19.2,Sorceress - c4d5,Lunatic Kimiko - 8841,Seraphic Hail,94323,1,0,0
22:04:09:04:29:19.2,Sorceress - c4d5,Lunatic Kimiko - fa17,Seraphic Hail,87829,1,0,0
22:04:09:04:29:19.2,Sorceress - c4d5,Lunatic Kimiko - ea82,Seraphic Hail,84699,1,0,0
22:04:09:04:29:19.3,Sorceress - c4d5,Lunatic Woopir - 16b8,Seraphic Hail,47082,0,0,0
22:04:09:04:29:19.3,Bard - ba17,Lunatic Woopir - f7b4,Sound Shock,3007,0,0,0
22:04:09:04:29:19.3,Sorceress - c4d5,Lunatic Woopir - 7faf,Seraphic Hail,51256,0,0,0
22:04:09:04:29:19.3,Striker - 1f4b,Lunatic Kimiko - b186,Storm Dragon Awakening,39298,0,0,0
22:04:09:04:29:19.3,Striker - 1f4b,Lunatic Woopir - f7b4,Storm Dragon Awakening,43917,0,0,0
22:04:09:04:29:19.3,Bard - ba17,Lunatic Kimiko - d99b,Sound Shock,2689,0,0,0
22:04:09:04:29:20.3,Sorceress - c4d5,Lunatic Kimiko - 73c5,Blaze,218229,1,0,0
22:04:09:04:29:20.3,Sorceress - c4d5,Lunatic Kimiko - 9029,Blaze,118226,0,0,0
22:04:09:04:29:20.3,Sorceress - c4d5,Lunatic Woopir - cfcf,Blaze,116525,0,0,0
22:04:09:04:29:20.3,Sorceress - c4d5,Lunatic Kimiko - 955d,Blaze,116947,0,0,0
22:04:09:04:29:20.3,Sorceress - c4d5,Lunatic Kimiko - f7be,Blaze,117796,0,0,0
22:04:09:04:29:20.3,Bard - ba17,Lunatic Kimiko - d99b,Sound Shock,2994,0,0,0
22:04:09:04:29:20.3,Bard - ba17,Lunatic Kimiko - 5bca,Sound Shock,2710,0,0,0
22:04:09:04:29:20.3,Striker - 1f4b,Lunatic Woopir - a660,Esoteric Skill: Tiger Emerges,69262,1,0,0
22:04:09:04:29:20.3,Sorceress - c4d5,Lunatic Kimiko - 3fd8,Seraphic Hail,55691,0,0,0
22:04:09:04:29:20.3,Sorceress - c4d5,Lunatic Kimiko - b375,Seraphic Hail,53972,0,0,0
22:04:09:04:29:20.3,Sorceress - c4d5,Lunatic Woopir - 20eb,Seraphic Hail,58248,0,0,0
22:04:09:04:29:20.3,Sorceress - c4d5,Lunatic Kimiko - 1cf9,Seraphic Hail,55782,0,0,0
22:04:09:04:29:20.3,Sorceress - c4d5,Lunatic Kimiko - 06f3,Seraphic Hail,55666,0,0,0
22:04:09:04:29:20.3,Striker - 1f4b,Lunatic Woopir - 2d97,Esoteric Skill: Tiger Emerges,33107,0,0,0
22:04:09:04:29:20.3,Striker - 1f4b,Lunatic Woopir - 323c,Esoteric Skill: Tiger Emerges,65093,1,0,0
22:04:09:04:29:20.3,Bard - ba17,Lunatic Kimiko - 5bca,Sound Shock,3124,0,0,0
22:04:09:04:29:21.3,Striker - 1f4b,Lunatic Kimiko - bcae,Esoteric Skill: Tiger Emerges,505863,1,0,0
22:04:09:04:29:21.3,Striker - 1f4b,Lunatic Kimiko - 256e,Esoteric Skill: Tiger Emerges,252784,0,0,0
22:04:09:04:29:21.3,Striker - 1f4b,Lunatic Woopir - 323c,Esoteric Skill: Tiger Emerges,255053,0,0,0
22:04:09:04:29:21.3,Striker - 1f4b,Lunatic Woopir - aa64,Esoteric Skill: Tiger Emerges,255282,0,0,0
22:04:09:04:29:21.3,Striker - 1f4b,Lunatic Woopir - 2d97,Esoteric Skill: Tiger Emerges,508888,1,0,0
22:04:09:04:29:21.3,Sorceress - c4d5,Lunatic Kimiko - 6a1e,Blaze,28655,0,0,0
22:04:09:04:29:21.3,Sorceress - c4d5,Lunatic Kimiko - 11f9,Blaze,56708,1,0,0
22:04:09:04:29:21.3,Sorceress - c4d5,Lunatic Kimiko - d99b,Blaze,60855,1,0,0
22:04:09:04:29:21.3,Sorceress - c4d5,Lunatic Kimiko - 75cc,Blaze,29842,0,0,0
22:04:09:04:29:21.3,Sorceress - c4d5,Lunatic Kimiko - a377,Blaze,30006,0,0,0
22:04:09:04:29:21.3,Sorceress - c4d5,Lunatic Kimiko - 5bca,Blaze,60637,1,0,0
22:04:09:04:29:21.4,Sorceress - c4d5,Lunatic Kimiko - 6a1e,Bleed,27728,0,0,0
22:04:09:04:29:21.4,Sorceress - c4d5,Lunatic Kimiko - 11f9,Bleed,27989,0,0,0
22:04:09:04:29:21.4,Sorceress - c4d5,Lunatic Kimiko - a377,Bleed,28843,0,0,0
22:04:09:04:29:21.4,Sorceress - c4d5,Lunatic Kimiko - 75cc,Bleed,53163,0,0,0
22:04:09:04:29:21.4,Sorceress - c4d5,Lunatic Kimiko - 6a1e,Blaze,31451,0,0,0
22:04:09:04:29:21.4,Sorceress - c4d5,Lunatic Kimiko - 543f,Blaze,53863,1,0,0
22:04:09:04:29:21.4,Sorceress - c4d5,Lunatic Kimiko - 11f9,Blaze,58329,1,0,0
22:04:09:04:29:21.4,Sorceress - c4d5,Lunatic Kimiko - 75cc,Blaze,58958,1,0,0
22:04:09:04:29:21.4,Sorceress - c4d5,Lunatic Kimiko - a377,Blaze,60351,1,0,0
22:04:09:04:29:22.4,Lunatic Kimiko - 6a1e,Sorceress - c4d5,키리코_인멸,0,0,0,0
22:04:09:04:29:22.4,Lunatic Kimiko - 0dd3,Striker - 1f4b,키리코_인멸,0,0,0,0
22:04:09:04:29:22.4,Lunatic Kimiko - 6a1e,Sorceress - c4d5,키리코_인멸,0,0,0,0
22:04:09:04:29:22.4,Sorceress - c4d5,Lunatic Kimiko - 75cc,Reverse Gravity,166042,1,0,0
22:04:09:04:29:22.4,Sorceress - c4d5,Lunatic Kimiko - 0dd3,Reverse Gravity,82674,0,0,0
22:04:09:04:29:22.4,Sorceress - c4d5,Lunatic Kimiko - a377,Reverse Gravity,170204,1,0,0
22:04:09:04:29:22.4,Bard - ba17,Lunatic Woopir - b68d,Sonic Vibration,11317,0,0,0
22:04:09:04:29:22.4,Bard - ba17,Lunatic Kimiko - f5d2,Sonic Vibration,11305,0,0,0
22:04:09:04:29:22.4,Bard - ba17,Lunatic Woopir - f4ce,Sonic Vibration,11486,0,0,0
22:04:09:04:29:22.4,Bard - ba17,Lunatic Woopir - 72e6,Sonic Vibration,11419,0,0,0
22:04:09:04:29:22.4,23B4FD2A,Lunatic Woopir - 72e6,에고 하프 기본 공격,33860,1,0,0
22:04:09:04:29:22.4,Sorceress - c4d5,Lunatic Kimiko - 543f,Bleed,53401,0,0,0
22:04:09:04:29:22.4,Sharpshooter,Lunatic Kimiko - 22ad,Arrow Wave,311602,1,0,0
22:04:09:04:29:22.4,Sorceress - c4d5,Lunatic Kimiko - 6a1e,Bleed,52439,0,0,0
22:04:09:04:29:22.4,Sorceress - c4d5,Lunatic Kimiko - 543f,Blaze,57008,1,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Woopir - 72e6,Bleed,31186,0,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Kimiko - 0907,Sonic Vibration,24216,1,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Woopir - b68d,Sonic Vibration,24997,1,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Kimiko - f5d2,Sonic Vibration,11826,0,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Kimiko - 6ab8,Sonic Vibration,24373,1,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Kimiko - 15e8,Sonic Vibration,11459,0,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Kimiko - f4fa,Sonic Vibration,11406,0,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Kimiko - 3bfb,Sonic Vibration,24179,1,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Kimiko - 417e,Sonic Vibration,11477,0,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Woopir - f4ce,Sonic Vibration,11846,0,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Woopir - 72e6,Sonic Vibration,12677,0,0,0
22:04:09:04:29:23.5,Lunatic Kimiko - b4e2,Sorceress - c4d5,키리코_죽음의질주,185,0,0,0
22:04:09:04:29:23.5,Sharpshooter,Lunatic Kimiko - 15e8,Arrow Wave,300256,1,0,0
22:04:09:04:29:23.5,Sharpshooter,Lunatic Woopir - b88b,Arrow Wave,307966,1,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Woopir - f4ce,Soundholic,56488,0,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Woopir - 72e6,Soundholic,62038,0,0,0
22:04:09:04:29:23.5,Lunatic Woopir - 02a9,Striker - 1f4b,우피르_곤봉던지기,475,0,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Woopir - f4ce,Soundholic,57438,0,0,0
22:04:09:04:29:23.5,Bard - ba17,Lunatic Woopir - 72e6,Soundholic,64125,0,0,0
22:04:09:04:29:23.5,Lunatic Kimiko - b4e2,Sorceress - c4d5,키리코_죽음의질주,160,0,0,0
22:04:09:04:29:23.5,Sorceress - c4d5,Lunatic Kimiko - 543f,Bleed,52919,0,0,0
22:04:09:04:29:23.5,Lunatic Woopir - 0cf1,Striker - 1f4b,우피르_곤봉던지기,462,0,0,0
22:04:09:04:29:23.5,Lunatic Woopir - 9196,Sharpshooter,우피르_곤봉던지기,741,0,0,0
22:04:09:04:29:23.5,Sorceress - c4d5,Lunatic Kimiko - f4fa,Blaze,54616,1,0,0
22:04:09:04:29:23.5,Sorceress - c4d5,Lunatic Kimiko - 417e,Blaze,29074,0,0,0
22:04:09:04:29:24.5,Striker - 1f4b,Lunatic Kimiko - 3f78,Esoteric Skill: Lightning Tiger Strike,1161113,1,0,0
22:04:09:04:29:24.5,Striker - 1f4b,Lunatic Kimiko - b4e2,Esoteric Skill: Lightning Tiger Strike,589387,0,0,0
22:04:09:04:29:24.5,Striker - 1f4b,Lunatic Kimiko - 6f03,Esoteric Skill: Lightning Tiger Strike,580788,0,0,0
22:04:09:04:29:24.5,Striker - 1f4b,Lunatic Kimiko - 1f6a,Esoteric Skill: Lightning Tiger Strike,581033,0,0,0
22:04:09:04:29:24.5,Striker - 1f4b,Lunatic Woopir - 02a9,Esoteric Skill: Lightning Tiger Strike,582482,0,0,0
22:04:09:04:29:24.5,Striker - 1f4b,Lunatic Woopir - 0cf1,Esoteric Skill: Lightning Tiger Strike,582903,0,0,0
22:04:09:04:29:24.5,Sorceress - c4d5,Lunatic Woopir - db89,Punishing Strike,1890892,1,0,0
22:04:09:04:29:24.5,Bard - ba17,Lunatic Kimiko - 6ab8,Soundholic,64256,0,0,0
22:04:09:04:29:24.5,Bard - ba17,Lunatic Kimiko - 6aa8,Soundholic,63706,0,0,0
22:04:09:04:29:24.5,Sharpshooter,Lunatic Woopir - 6469,Bleed,51763,0,0,0
22:04:09:04:29:24.5,Bard - ba17,Lunatic Kimiko - 0907,Sonic Vibration,24500,1,0,0
22:04:09:04:29:24.5,Bard - ba17,Lunatic Woopir - b68d,Sonic Vibration,11379,0,0,0
22:04:09:04:29:24.5,Bard - ba17,Lunatic Kimiko - f5d2,Sonic Vibration,11481,0,0,0
22:04:09:04:29:24.5,Bard - ba17,Lunatic Kimiko - f4fa,Sonic Vibration,25952,1,0,0
22:04:09:04:29:24.5,Bard - ba17,Lunatic Kimiko - 3bfb,Sonic Vibration,10935,0,0,0
22:04:09:04:29:24.5,Bard - ba17,Lunatic Kimiko - 417e,Sonic Vibration,11420,0,0,0
22:04:09:04:29:24.5,Sorceress - c4d5,Lunatic Kimiko - cbfa,Punishing Strike,551245,0,0,0
22:04:09:04:29:24.5,23B4FD2A,Lunatic Woopir - b68d,에고 하프 기본 공격,15635,0,0,0
22:04:09:04:29:24.5,Sorceress - c4d5,Lunatic Kimiko - c155,Punishing Strike,1864821,1,0,0
22:04:09:04:29:24.5,Sorceress - c4d5,Lunatic Kimiko - 00f0,Punishing Strike,539792,0,0,0
22:04:09:04:29:24.5,Sorceress - c4d5,Lunatic Kimiko - 0e12,Punishing Strike,1871908,1,0,0
22:04:09:04:29:24.5,Bard - ba17,Lunatic Kimiko - f4fa,Soundholic,179107,1,0,0
22:04:09:04:29:24.5,Sorceress - c4d5,Lunatic Kimiko - 417e,Bleed,53475,0,0,0
22:04:09:04:29:24.5,Lunatic Kimiko - 3bfb,Sharpshooter,키리코_죽음의질주,244,0,0,0
22:04:09:04:29:24.5,Bard - ba17,Lunatic Kimiko - 417e,Soundholic,186019,1,0,0
22:04:09:04:29:24.5,Bard - ba17,Lunatic Kimiko - 4914,Soundholic,176297,1,0,0
22:04:09:04:29:24.5,Sharpshooter,Lunatic Kimiko - 0907,Sharp Shooter,129601,1,0,0
22:04:09:04:29:24.5,Sharpshooter,Lunatic Kimiko - 3bfb,Sharp Shooter,130127,1,0,0
22:04:09:04:29:24.5,Sharpshooter,Lunatic Kimiko - e5b2,Sharp Shooter,131840,1,0,0
22:04:09:04:29:25.5,Sharpshooter,Lunatic Woopir - 6469,Bleed,52641,0,0,0
22:04:09:04:29:25.5,Bard - ba17,Lunatic Woopir - b68d,Bleed,30004,0,0,0
22:04:09:04:29:25.5,Bard - ba17,Lunatic Woopir - b68d,Sonic Vibration,12119,0,0,0
22:04:09:04:29:25.5,Bard - ba17,Lunatic Kimiko - f5d2,Sonic Vibration,11156,0,0,0
22:04:09:04:29:25.5,Bard - ba17,Lunatic Woopir - 9196,Sonic Vibration,11022,0,0,0
22:04:09:04:29:25.5,Bard - ba17,Lunatic Woopir - 6469,Sonic Vibration,10954,0,0,0
22:04:09:04:29:25.5,Sharpshooter,Lunatic Woopir - 6469,Blade Storm,45377,0,0,0
22:04:09:04:29:25.5,Sharpshooter,Lunatic Woopir - b68d,Blade Storm,100888,1,0,0
22:04:09:04:29:25.5,Sharpshooter,Lunatic Kimiko - f5d2,Blade Storm,93095,1,0,0
22:04:09:04:29:26.6,23B4FD2A,Lunatic Woopir - 9196,에고 하프 기본 공격,38210,1,0,0
22:04:09:04:29:26.6,Bard - ba17,Lunatic Woopir - 9196,Sound Shock,2970,0,0,0
22:04:09:04:29:26.6,Sharpshooter,Lunatic Woopir - 9196,Blade Storm,50124,0,0,0
22:04:09:04:29:26.6,Bard - ba17,Lunatic Kimiko - 1b19,Sound Shock,2719,0,0,0
22:04:09:04:29:26.6,Sharpshooter,Lunatic Kimiko - 1b19,Blade Storm,50405,0,0,0
22:04:09:04:29:28.7,Striker - 1f4b,Lunatic Kimiko - 8e7b,Esoteric Skill: Call the Wind God,70075,1,0,0
22:04:09:04:29:28.7,Striker - 1f4b,Lunatic Kimiko - 0fa4,Esoteric Skill: Call the Wind God,73396,1,0,0
22:04:09:04:29:29.7,Sorceress - c4d5,Lunatic Kimiko - b376,Esoteric Reaction,370101,0,0,0
22:04:09:04:29:59.6,Striker - 1f4b,Frenzied Cicerra,Storm Dragon Awakening,7986,0,0,0
22:04:09:04:29:59.6,Striker - 1f4b,Frenzied Cicerra,Storm Dragon Awakening,8032,0,0,0
22:04:09:04:29:59.6,Striker - 1f4b,Frenzied Cicerra,Storm Dragon Awakening,31969,1,0,0
22:04:09:04:29:59.6,Sharpshooter,Frenzied Cicerra,Atomic Arrow,6602,0,0,0
22:04:09:04:29:59.7,Striker - 1f4b,Frenzied Cicerra,Storm Dragon Awakening,18370,0,0,0
22:04:09:04:29:59.7,Striker - 1f4b,Frenzied Cicerra,Storm Dragon Awakening,74738,1,0,0
22:04:09:04:30:00.7,Sorceress - c4d5,Frenzied Cicerra,Blaze,178191,0,0,0
22:04:09:04:30:00.7,Striker - 1f4b,Frenzied Cicerra,Sky Shattering Blow,13800,0,0,0
22:04:09:04:30:00.7,Striker - 1f4b,Frenzied Cicerra,Sky Shattering Blow,19011,0,0,0
22:04:09:04:30:00.7,Sorceress - c4d5,Frenzied Cicerra,Bleed,26035,0,0,0
22:04:09:04:30:01.7,Sorceress - c4d5,Frenzied Cicerra,Blaze,87497,1,0,0
22:04:09:04:30:01.7,Bard - ba17,Frenzied Cicerra,Heavenly Tune,39144,0,0,0
22:04:09:04:30:01.8,Striker - 1f4b,Frenzied Cicerra,Moon Flash Kick,21575,0,0,0
22:04:09:04:30:01.8,Sorceress - c4d5,Frenzied Cicerra,Blaze,107994,1,0,0
22:04:09:04:30:01.8,Sorceress - c4d5,Frenzied Cicerra,Bleed,60533,0,0,0
22:04:09:04:30:02.8,Striker - 1f4b,Frenzied Cicerra,Moon Flash Kick,16589,0,0,0
22:04:09:04:30:02.8,Sharpshooter,Frenzied Cicerra,Snipe,2575470,1,0,0
22:04:09:04:30:02.8,Sharpshooter,Frenzied Cicerra,Atomic Arrow,249882,1,0,0
